student_id,date,weekday,is_weekend,screen_time_hrs,night_usage_hrs,sleep_hours,calls_count,night_calls,app_social_hrs,app_entertainment_hrs,app_education_hrs,location_jumps,location_entropy,late_sleep_flag,low_sleep_flag,study_ratio,risk_probability,risk_label
1,2025-06-01,6,1,6.78,1.54,6.63,10,1,2.54,1.34,2.9,5,0.761,1,0,0.428,0.948,High
1,2025-06-02,0,0,5.27,0.52,6.13,9,0,1.7,2.31,1.27,7,0.753,0,0,0.24,0.812,High
1,2025-06-03,1,0,5.41,1.0,7.45,6,0,1.43,1.14,2.84,4,0.47,0,0,0.525,0.745,High
1,2025-06-04,2,0,3.98,0.84,6.43,7,0,1.06,1.17,1.74,5,0.854,0,0,0.439,0.819,High
1,2025-06-05,3,0,4.98,0.31,7.34,9,0,1.59,2.11,1.29,3,0.171,0,0,0.258,0.713,High
1,2025-06-06,4,0,5.93,0.42,5.58,12,0,2.15,1.98,1.8,3,0.732,0,1,0.303,0.882,High
1,2025-06-07,5,1,6.58,0.66,6.79,10,1,2.56,1.88,2.14,6,0.304,0,0,0.326,0.846,High
1,2025-06-08,6,1,5.81,1.15,7.13,5,1,2.03,0.84,2.94,4,0.074,0,0,0.506,0.84,High
1,2025-06-09,0,0,5.57,0.86,6.54,0,0,2.42,1.48,1.67,1,0.222,0,0,0.301,0.796,High
1,2025-06-10,1,0,5.85,0.7,5.94,5,0,2.35,0.98,2.52,4,0.229,0,1,0.431,0.898,High
1,2025-06-11,2,0,4.3,0.68,6.58,4,0,1.75,1.31,1.24,2,0.712,0,0,0.288,0.719,High
1,2025-06-12,3,0,4.61,1.2,6.3,4,0,2.06,0.82,1.73,2,0.305,0,0,0.375,0.878,High
1,2025-06-13,4,0,5.89,0.88,6.51,2,0,2.19,1.27,2.44,8,0.328,0,0,0.414,0.752,High
1,2025-06-14,5,1,8.07,0.89,5.67,9,0,2.13,2.2,3.73,5,0.518,0,1,0.463,0.976,High
1,2025-06-15,6,1,7.09,1.33,6.14,7,0,2.74,2.34,2.01,6,0.573,0,0,0.283,0.96,High
1,2025-06-16,0,0,5.24,0.37,6.36,7,0,2.35,1.37,1.52,5,0.304,0,0,0.29,0.718,High
1,2025-06-17,1,0,4.77,0.75,6.5,0,0,1.73,1.01,2.03,1,0.349,0,0,0.425,0.607,Medium
1,2025-06-18,2,0,6.58,0.94,6.2,5,0,1.92,1.41,3.25,4,0.083,0,0,0.494,0.835,High
1,2025-06-19,3,0,7.26,0.0,7.01,6,0,2.15,1.48,3.63,5,0.475,0,0,0.5,0.803,High
1,2025-06-20,4,0,5.29,0.59,6.85,4,1,0.93,1.37,2.99,6,0.411,0,0,0.565,0.721,High
1,2025-06-21,5,1,8.71,1.39,6.87,5,0,2.54,2.64,3.53,6,0.164,0,0,0.405,0.932,High
1,2025-06-22,6,1,5.81,1.32,6.33,0,1,1.74,1.91,2.15,5,0.056,0,0,0.371,0.9,High
1,2025-06-23,0,0,5.2,1.18,6.56,3,1,2.93,1.76,0.52,5,0.349,0,0,0.1,0.797,High
1,2025-06-24,1,0,5.59,0.78,6.94,5,0,2.11,2.01,1.47,3,0.6,0,0,0.263,0.707,High
1,2025-06-25,2,0,5.49,0.34,5.84,12,0,2.55,1.26,1.69,4,0.567,0,1,0.307,0.914,High
1,2025-06-26,3,0,5.32,0.86,6.66,8,0,2.04,0.79,2.49,8,0.517,0,0,0.467,0.854,High
1,2025-06-27,4,0,4.54,0.16,6.33,6,1,1.27,1.69,1.58,6,0.377,0,0,0.348,0.81,High
1,2025-06-28,5,1,7.98,1.26,5.59,4,1,3.45,2.31,2.22,6,0.44,0,1,0.278,0.965,High
1,2025-06-29,6,1,6.45,0.8,6.12,4,1,2.12,2.55,1.78,4,0.485,0,0,0.275,0.944,High
1,2025-06-30,0,0,6.07,0.18,7.26,6,0,2.22,1.82,2.03,2,0.709,0,0,0.334,0.693,Medium
1,2025-07-01,1,0,6.97,0.54,6.09,3,1,2.29,1.94,2.74,5,0.306,0,0,0.393,0.907,High
1,2025-07-02,2,0,5.64,0.18,7.21,3,2,2.1,1.68,1.86,3,0.668,0,0,0.329,0.71,High
1,2025-07-03,3,0,6.02,1.01,6.16,8,0,1.29,1.35,3.37,0,0.431,0,0,0.561,0.872,High
1,2025-07-04,4,0,5.65,0.49,5.4,2,2,2.3,2.1,1.25,0,0.397,0,1,0.222,0.913,High
1,2025-07-05,5,1,8.88,0.31,6.97,5,1,2.81,2.35,3.71,4,0.666,0,0,0.418,0.883,High
1,2025-07-06,6,1,7.78,0.57,5.91,0,2,2.37,2.42,2.99,6,0.309,0,1,0.385,0.913,High
1,2025-07-07,0,0,5.92,0.32,6.24,1,0,2.23,1.15,2.55,4,0.747,0,0,0.43,0.879,High
1,2025-07-08,1,0,5.39,0.42,6.25,8,2,1.53,1.94,1.92,3,0.251,0,0,0.356,0.858,High
1,2025-07-09,2,0,5.85,0.33,5.77,3,0,1.74,1.81,2.3,3,0.604,0,1,0.394,0.87,High
1,2025-07-10,3,0,5.01,0.45,6.05,6,0,2.14,1.84,1.03,3,0.538,0,0,0.205,0.874,High
1,2025-07-11,4,0,7.12,0.38,6.51,2,2,2.39,2.12,2.61,5,0.684,0,0,0.367,0.866,High
1,2025-07-12,5,1,6.04,0.91,6.65,8,2,1.97,0.5,3.57,3,0.861,0,0,0.591,0.893,High
