student_id,age,gender,year,college,department,hostel_resident,part_time_job,sports_regular,chronotype,phone_type,data_plan,latent_risk,days_observed,avg_screen_time,avg_sleep,avg_night_usage,avg_location_entropy,pct_low_sleep,pct_late_sleep,mean_risk_prob,high_days,medium_days,low_days,overall_risk_label
1,23,Female,III,Guru Nanak College,BioTech,0,0,0,morning,iOS,High,1.2633702524059132,60,6.0815,6.453333333333333,0.703,0.4734833333333333,0.18333333333333332,0.03333333333333333,0.8396333333333333,56,4,0,High
2,22,Male,IV,Loyola College,CSE,0,0,0,intermediate,Android,Low,0.613947783322327,60,4.384666666666666,6.867666666666667,0.9038333333333333,0.3947,0.05,0.08333333333333333,0.6731166666666667,27,26,7,High
3,20,Female,III,SRM Institute,Psychology,0,0,0,morning,iOS,High,-0.9207948619378423,60,4.9845,6.762666666666666,0.7713333333333333,0.4271333333333333,0.06666666666666667,0.03333333333333333,0.5783833333333334,12,36,12,High
4,18,Male,II,Loyola College,ECE,1,0,0,intermediate,Android,High,0.3005584146765376,60,4.520833333333333,6.765166666666667,0.9626666666666667,0.39039999999999997,0.08333333333333333,0.1,0.6875333333333333,29,25,6,High
5,20,Male,IV,IIT Madras,IT,0,0,0,intermediate,iOS,Medium,-0.14102852954060696,60,3.501,8.751666666666667,0.8571666666666666,0.3923833333333333,0.0,0.06666666666666667,0.32570000000000005,0,10,50,Low
6,23,Male,III,Presidency College,B.Com,1,0,1,intermediate,Android,High,0.9607142175596227,60,3.565,5.6215,0.9851666666666666,0.42434999999999995,0.75,0.05,0.8264666666666667,53,7,0,High
7,20,Female,I,Madras University Affiliated,Data Science,0,1,1,intermediate,Android,Low,0.46569823577043135,60,2.8746666666666667,6.361833333333333,0.8876666666666666,0.4086666666666667,0.25,0.03333333333333333,0.6402666666666667,21,31,8,High
8,23,Female,IV,Hindustan Institute,B.Com,1,0,0,intermediate,Android,Medium,0.7101987676746858,60,5.1745,6.5713333333333335,1.0263333333333333,0.44171666666666665,0.16666666666666666,0.15,0.7652166666666667,41,17,2,High
9,24,Male,III,Anna University,EEE,0,0,1,intermediate,Android,Medium,1.196347402306779,60,3.689333333333333,7.115166666666667,0.9495,0.39949999999999997,0.08333333333333333,0.15,0.6747333333333334,25,31,4,High
10,18,Male,III,Hindustan Institute,CSE,0,0,1,morning,Android,High,0.2705450015946558,60,1.9861666666666666,8.185,0.7055,0.4063333333333333,0.0,0.0,0.30423333333333336,0,8,52,Low
11,20,Female,III,Guru Nanak College,EEE,0,1,1,evening,Android,High,0.7323216941616594,60,5.160666666666667,6.4805,1.2645000000000002,0.42596666666666666,0.18333333333333332,0.3,0.8169333333333333,52,8,0,High
12,19,Male,III,Presidency College,B.Com,0,0,0,intermediate,Android,High,0.2630008877277476,60,5.1658333333333335,6.980833333333334,0.9855,0.4083833333333333,0.03333333333333333,0.11666666666666667,0.6983166666666667,34,21,5,High
13,23,Male,III,Saveetha Engineering,Civil,1,0,0,intermediate,Android,Low,-0.3864981430010344,60,6.281833333333334,6.628166666666667,1.0181666666666667,0.44276666666666664,0.15,0.11666666666666667,0.7451500000000001,40,19,1,High
14,18,Female,II,Hindustan Institute,ECE,1,0,1,intermediate,iOS,Medium,-0.4558626787187229,60,1.794,5.2955000000000005,0.9261666666666667,0.3925666666666666,0.95,0.05,0.6789000000000001,29,25,6,High
15,23,Male,I,Anna University,EEE,1,0,0,morning,Android,Medium,1.726982818690483,60,2.579333333333333,6.740333333333334,0.7258333333333333,0.39265,0.06666666666666667,0.0,0.6661166666666667,29,24,7,High
16,22,Male,IV,IIT Madras,IT,0,0,1,morning,Android,Medium,0.9854227013728883,60,4.381166666666667,7.374333333333333,0.7023333333333334,0.41940000000000005,0.0,0.0,0.6293333333333333,21,33,6,High
17,19,Female,III,Sathyabama University,EEE,1,0,0,evening,Android,Medium,0.34241027279154196,60,4.225333333333333,6.879833333333334,1.2853333333333334,0.41183333333333333,0.06666666666666667,0.26666666666666666,0.7034333333333334,28,27,5,High
18,18,Female,II,Velammal Engineering,EEE,0,0,1,intermediate,Android,High,-1.975759092054078,60,5.606166666666667,6.5024999999999995,0.9786666666666667,0.399,0.18333333333333332,0.1,0.5935666666666666,18,30,12,High
19,22,Female,I,Guru Nanak College,AI&DS,0,0,1,morning,Android,High,0.494112676408916,60,4.2669999999999995,8.061666666666666,0.7031666666666666,0.40668333333333334,0.0,0.016666666666666666,0.49163333333333337,7,29,24,Medium
20,20,Female,IV,Saveetha Engineering,EEE,1,0,0,intermediate,Android,High,0.9736566375840883,60,4.434666666666667,7.049166666666666,0.9213333333333333,0.4143,0.03333333333333333,0.13333333333333333,0.68845,32,23,5,High
21,20,Female,I,Loyola College,Mechanical,0,0,1,intermediate,Android,Medium,0.33449481756446925,60,1.5416666666666667,7.1075,0.7623333333333334,0.4205666666666667,0.016666666666666666,0.0,0.4172666666666667,1,23,36,Low
22,22,Female,I,SRM Institute,IT,1,0,0,intermediate,Android,High,-1.5092224366285107,60,5.5183333333333335,5.964833333333333,0.9586666666666667,0.3659833333333333,0.48333333333333334,0.1,0.7018333333333333,37,17,6,High
23,20,Female,III,Sathyabama University,EEE,1,0,1,evening,Android,High,-1.4266008497324192,60,3.8685,4.981,1.2333333333333334,0.3951833333333334,0.9666666666666667,0.2833333333333333,0.76835,42,17,1,High
24,21,Male,I,SRM Institute,Psychology,1,0,0,evening,Android,Low,-0.19450756832561245,60,3.3898333333333337,5.4835,1.2541666666666667,0.4019833333333333,0.8,0.26666666666666666,0.7937666666666666,48,11,1,High
25,17,Male,II,Velammal Engineering,EEE,0,0,0,intermediate,Android,Medium,0.845938807089901,60,5.657,6.8100000000000005,0.9116666666666667,0.3857333333333333,0.05,0.06666666666666667,0.78025,49,10,1,High
26,24,Female,II,Hindustan Institute,BBA,1,1,1,intermediate,Android,High,0.041088687583708296,60,5.298,8.047833333333333,0.8781666666666667,0.44286666666666663,0.0,0.11666666666666667,0.5294833333333334,11,26,23,High
27,17,Male,II,Presidency College,EEE,0,0,0,intermediate,Android,Medium,-0.3882908382632828,60,4.577666666666667,6.7835,0.9380000000000001,0.4131666666666666,0.05,0.06666666666666667,0.6206499999999999,20,30,10,High
28,18,Female,I,Sathyabama University,BBA,1,0,0,intermediate,Android,Medium,0.06549931150905805,60,2.4295,6.544333333333333,0.8193333333333332,0.42245000000000005,0.18333333333333332,0.05,0.545,14,26,20,High
29,21,Male,II,Madras University Affiliated,Mechanical,0,0,0,intermediate,Android,Low,-1.0463314397355001,60,5.421166666666666,6.920833333333333,0.8723333333333333,0.4051,0.05,0.06666666666666667,0.5671,16,27,17,High
30,22,Female,I,Presidency College,Civil,0,1,0,morning,Android,Low,-1.5924796396618912,60,2.5145,7.028666666666667,0.6980000000000001,0.40516666666666673,0.016666666666666666,0.03333333333333333,0.31179999999999997,2,8,50,Low
31,21,Male,IV,Madras University Affiliated,AI&DS,1,0,1,morning,Android,Medium,0.0692526516180438,60,4.6825,7.622,0.7391666666666666,0.3782166666666667,0.0,0.03333333333333333,0.5169833333333334,10,25,25,High
32,20,Male,I,Sathyabama University,Civil,0,0,0,intermediate,Android,Medium,-0.4743061859682838,60,4.3405000000000005,6.643,0.9461666666666667,0.4376333333333333,0.06666666666666667,0.08333333333333333,0.6261,17,35,8,High
33,23,Male,II,Loyola College,Mechanical,0,0,0,intermediate,Android,Low,0.9305310017239677,60,3.346166666666667,7.513833333333333,0.929,0.38093333333333335,0.0,0.1,0.5718166666666666,17,30,13,High
34,23,Female,IV,Guru Nanak College,Mechanical,0,0,0,intermediate,Android,High,0.00818644881566964,60,5.727333333333333,7.352666666666667,0.9563333333333334,0.43885,0.0,0.08333333333333333,0.6607666666666667,27,29,4,High
35,19,Female,IV,Velammal Engineering,BA English,0,0,0,intermediate,Android,Low,-0.3891462128418885,60,4.275166666666666,6.512666666666666,0.9733333333333333,0.41859999999999997,0.2,0.11666666666666667,0.6515666666666667,22,34,4,High
36,18,Male,III,Sathyabama University,BBA,1,0,1,intermediate,Android,Medium,0.16607860902857594,60,4.969166666666666,6.5495,0.9478333333333333,0.44489999999999996,0.08333333333333333,0.1,0.72485,40,17,3,High
37,18,Male,IV,SRM Institute,CSE,1,0,0,intermediate,Android,Medium,0.8349405162949998,60,3.6958333333333333,6.9325,0.9510000000000001,0.40063333333333334,0.0,0.03333333333333333,0.6603,26,29,5,High
38,23,Female,I,Anna University,CSE,0,0,0,evening,Android,Low,0.18318283055083218,60,3.277333333333333,6.033333333333333,1.274,0.44595,0.5,0.3,0.7464666666666666,39,19,2,High
39,17,Female,I,Hindustan Institute,Psychology,1,1,0,intermediate,Android,Medium,-0.6545765465867781,60,4.6885,6.435333333333333,0.8943333333333334,0.4137333333333333,0.26666666666666666,0.13333333333333333,0.6575166666666666,28,25,7,High
40,20,Female,IV,Saveetha Engineering,AI&DS,0,0,0,intermediate,Android,High,1.6739098205483682,60,4.994,5.648,0.9236666666666667,0.35816666666666663,0.7666666666666667,0.06666666666666667,0.9068,59,1,0,High
41,19,Female,III,Presidency College,B.Com,1,0,0,morning,Android,Medium,0.19597325688697823,60,1.9363333333333332,6.8385,0.7355,0.3669,0.05,0.06666666666666667,0.45803333333333335,8,19,33,Medium
42,21,Male,II,SRM Institute,BioTech,0,0,1,evening,iOS,High,-0.40555454029690385,60,3.3938333333333333,6.098833333333333,1.2815,0.4120666666666667,0.35,0.35,0.6891666666666667,31,23,6,High
43,22,Female,III,Madras University Affiliated,Psychology,0,0,1,morning,Android,Low,-0.015212966322151064,60,4.149,6.434,0.7571666666666667,0.3733333333333333,0.11666666666666667,0.08333333333333333,0.6379833333333333,22,31,7,High
44,20,Female,III,Saveetha Engineering,AI&DS,1,0,1,intermediate,Android,High,-0.8020234917102471,60,4.816666666666666,5.8985,0.9540000000000001,0.3786333333333333,0.55,0.1,0.7333,37,23,0,High
45,22,Male,II,Presidency College,Data Science,1,0,1,morning,Android,High,0.17927398544833342,60,5.564666666666667,6.2405,0.7318333333333334,0.3973333333333333,0.3333333333333333,0.06666666666666667,0.7774666666666668,42,18,0,High
46,18,Male,I,Anna University,Civil,1,0,1,evening,iOS,Low,0.010073920625435889,60,3.2583333333333333,6.133333333333334,1.1955,0.42945,0.36666666666666664,0.21666666666666667,0.70265,33,23,4,High
47,22,Male,IV,Loyola College,BioTech,0,0,0,intermediate,Android,Medium,-0.6055248724092768,60,5.730833333333334,5.403666666666667,0.9338333333333334,0.4313166666666667,0.9,0.06666666666666667,0.8461,58,2,0,High
